sentence,type,object number,formatted sentence,selected option,time,is_match
update record,camelCase,20,updateRecord,updateRecord,4.531,True
play video,camelCase,20,playVideo,playVideo,4.146,True
search item,kebab,20,search-item,search-item,2.967,True
play video,kebab,20,play-video,play-video,1.707,True
add item,camelCase,20,addItem,addIce,2.067,False
calculate sum,camelCase,20,calculateSum,createSum,1.958,False
find user,camelCase,20,findUser,findUser,0.924,True
send email,camelCase,20,sendEmail,sendEmail,0.441,True
calculate sum,kebab,20,calculate-sum,calculate-sum,0.656,True
find user,kebab,20,find-user,find-user,0.661,True
create account,camelCase,20,createAccount,createAccent,0.554,False
update record,kebab,20,update-record,update-recall,0.893,False
delete user,kebab,20,delete-user,dilate-user,0.487,False
load file,kebab,20,load-file,load-foil,0.640,False
delete user,camelCase,20,deleteUser,deleteUser,0.774,True
search item,camelCase,20,searchItem,searchIdea,0.955,False
load file,kebab,20,load-file,load-file,1.183,True
add item,kebab,21,add-item,add-ice,2.306,False
load file,camelCase,21,loadFile,loadFoil,1.749,False
send email,kebab,21,send-email,send-easel,0.590,False
update record,camelCase,21,updateRecord,updateRecord,0.694,True
play video,camelCase,21,playVideo,playVivid,0.837,False
search item,kebab,21,search-item,scratch-item,1.950,False
play video,kebab,21,play-video,play-veto,1.004,False
add item,camelCase,21,addItem,addItem,0.511,True
calculate sum,camelCase,21,calculateSum,carrySum,0.631,False
find user,camelCase,21,findUser,fineUser,0.466,False
send email,camelCase,21,sendEmail,sandEmail,0.631,False
calculate sum,kebab,21,calculate-sum,calculate-sun,0.383,False
find user,kebab,21,find-user,fine-user,0.385,False
create account,camelCase,21,createAccount,createAcorn,0.472,False
update record,kebab,21,update-record,update-record,0.411,True
delete user,kebab,21,delete-user,delete-use,0.892,False
load file,kebab,21,load-file,load-foil,0.623,False
delete user,camelCase,21,deleteUser,deleteUser,0.473,True
search item,camelCase,21,searchItem,searchItem,0.459,True
load file,kebab,21,load-file,loud-file,0.386,False
add item,kebab,22,add-item,add-item,2.969,True
load file,camelCase,22,loadFile,loadFile,2.288,True
send email,kebab,22,send-email,send-email,3.264,True
update record,camelCase,22,updateRecord,uprootRecord,3.269,False
play video,camelCase,22,playVideo,playVideo,1.804,True
search item,kebab,22,search-item,search-item,4.037,True
play video,kebab,22,play-video,play-video,4.351,True
add item,camelCase,22,addItem,addItem,3.046,True
calculate sum,camelCase,22,calculateSum,calculateSum,4.286,True
find user,camelCase,22,findUser,findUser,1.551,True
send email,camelCase,22,sendEmail,sendEmail,3.619,True
calculate sum,kebab,22,calculate-sum,calculate-sum,3.118,True
find user,kebab,22,find-user,find-user,3.751,True
find user,camelCase,22,findUser,findUser,2.687,True
create account,camelCase,22,createAccount,createAccount,2.073,True
update record,kebab,22,update-record,update-record,6.539,True
delete user,kebab,22,delete-user,delete-user,3.275,True
load file,kebab,22,load-file,load-file,4.333,True
delete user,camelCase,22,deleteUser,deleteUser,3.632,True
search item,camelCase,22,searchItem,searchItem,3.142,True
delete user,kebab,22,delete-user,delete-user,2.959,True
load file,kebab,22,load-file,load-file,2.367,True
add item,kebab,23,add-item,add-item,3.504,True
load file,camelCase,23,loadFile,loadFile,2.880,True
send email,kebab,23,send-email,send-email,2.570,True
update record,camelCase,23,updateRecord,updateRecord,3.478,True
play video,camelCase,23,playVideo,playVideo,3.867,True
search item,kebab,23,search-item,search-item,3.265,True
play video,kebab,23,play-video,play-video,1.726,True
add item,camelCase,23,addItem,addItem,2.367,True
calculate sum,camelCase,23,calculateSum,calculateSum,7.413,True
find user,camelCase,23,findUser,findUser,2.228,True
send email,camelCase,23,sendEmail,sendEmail,1.574,True
calculate sum,kebab,23,calculate-sum,calculate-sum,7.733,True
find user,kebab,23,find-user,find-user,4.617,True
find user,camelCase,23,findUser,findUser,2.269,True
create account,camelCase,23,createAccount,createAccount,1.492,True
update record,kebab,23,update-record,update-record,3.131,True
delete user,kebab,23,delete-user,delete-user,1.980,True
load file,kebab,23,load-file,load-file,2.299,True
delete user,camelCase,23,deleteUser,deleteUser,3.250,True
search item,camelCase,23,searchItem,searchItem,3.500,True
delete user,kebab,23,delete-user,delete-user,3.399,True
load file,kebab,23,load-file,load-file,2.898,True
add item,kebab,24,add-item,add-item,2.438,True
load file,camelCase,24,loadFile,loadFile,3.875,True
send email,kebab,24,send-email,send-email,2.476,True
update record,camelCase,24,updateRecord,updateRecord,5.109,True
play video,camelCase,24,playVideo,playVideo,9.673,True
search item,kebab,24,search-item,search-item,6.830,True
play video,kebab,24,play-video,play-video,4.760,True
add item,camelCase,24,addItem,addItem,14.387,True
calculate sum,camelCase,24,calculateSum,calculateSum,4.399,True
find user,camelCase,24,findUser,findUser,1.470,True
send email,camelCase,24,sendEmail,sendEmail,2.220,True
calculate sum,kebab,24,calculate-sum,calculate-sum,3.830,True
find user,kebab,24,find-user,find-user,1.543,True
find user,camelCase,24,findUser,findUser,7.020,True
create account,camelCase,24,createAccount,createAccount,7.432,True
update record,kebab,24,update-record,update-record,3.543,True
delete user,kebab,24,delete-user,delete-user,4.545,True
load file,kebab,24,load-file,load-file,4.991,True
delete user,camelCase,24,deleteUser,deleteUser,2.353,True
search item,camelCase,24,searchItem,searchItem,2.033,True
delete user,kebab,24,delete-user,delete-user,3.354,True
load file,kebab,24,load-file,load-file,1.608,True
add item,kebab,25,add-item,add-item,2.092,True
load file,camelCase,25,loadFile,loadFile,2.445,True
send email,kebab,25,send-email,send-email,4.016,True
update record,camelCase,25,updateRecord,updateRecord,4.409,True
play video,camelCase,25,playVideo,playVideo,1.806,True
search item,kebab,25,search-item,search-item,6.267,True
play video,kebab,25,play-video,play-video,2.807,True
add item,camelCase,25,addItem,addItem,2.335,True
calculate sum,camelCase,25,calculateSum,calculateSum,2.195,True
find user,camelCase,25,findUser,fineUser,2.020,False
send email,camelCase,25,sendEmail,sendEmail,3.993,True
calculate sum,kebab,25,calculate-sum,calculate-sum,1.493,True
find user,kebab,25,find-user,find-user,1.782,True
create account,camelCase,25,createAccount,createAccount,3.188,True
update record,kebab,25,update-record,update-record,2.645,True
delete user,kebab,25,delete-user,delete-user,2.912,True
load file,kebab,25,load-file,load-file,3.860,True
delete user,camelCase,25,deleteUser,deleteUser,3.933,True
search item,camelCase,25,searchItem,searchItem,1.826,True
load file,kebab,25,load-file,load-file,1.909,True
